class,product
18822,"Fasuoti svogūnai, 1kg"
18823,"Raudonieji svogūnai, 1kg"
18825,"Balti svogūnai, 1kg"
18840,"Raudonosios vynuogės, 1kg"
18843,"Žaliosios vynuogės, 1kg"
19002,"Džiovinti abrikosai, 1kg"
19020,"Anakardžių riešutai, 1kg"
19041,"Bananų traškučiai, 1kg"
19061,"Džiovintos datulės be kaulo, 1kg"
19081,Graikiniai rieutai su kevalu 1kg
19082,"Graikinių riešutų branduoliai, 1kg"
19083,"Džiovintų spanguolių puselės, 1kg"
19110,"Lazdynų riešutų branduoliai, 1kg"
19120,"Migdolų riešutai, 1kg"
19151,"Pistacijos kepintos ir sūdytos, 1kg"
19161,"Razinos GOLDEN, 1kg"
19164,"Razinos, 1kg"
19166,"Razinos GOLDEN JUMBO, 1kg"
19180,"Saulėgrąžų branduoliai, 1kg"
19200,"Riešutų ir razinų mišinys GAR2, 1kg"
19202,Riešutų mišinys GAR2
19219,"Žemės riešutai su svogūnais JĖGA,"
19220,"Žemės riešutų branduoliai, 1kg"
19221,"Žemės riešutai be odelės, 1kg"
19223,"Žemės riešutai su kevalu, 1kg"
19226,"Kepinti ir sūdyti žemės riešutai, 1kg"
19232,"Skrudinti žemės rieš.su medumi  JĖGA,1kg"
19300,"Pekano riešutai, 1 kg"
19370,"Žemės riešutai apvalkale ROIS BEER,1kg"
21005,Saldainiai LAIMOVOJE TRULIALIA
21009,Saldainiai ZOLOTOJ STEP
21013,21013
21016,21016
21017,Saldainiai MASKA
21021,Saldainiai KROWKA KRUCHUTKA
21024,Karamelė VKUSIA MIX
21026,Saldainiai CHOCO LUCK su aguonomis
21033,Saldainiai MURKINY ZABAVY
21034,Saldainiai ATTACHE
21040,"Saldainiai KOROVKA Sufle,1kg"
21042,Saldainiai MARMELADUKAI
21058,Saldainiai NOMEDA
21059,Saldainiai PERGALĖ Cherry
21066,Sald.SWEET TRAVEL su karam.ir ž.rieš.
21087,Saldainiai MILK BELL MIX
21088,Saulėgrąžų branduolių kozinakas
21090,"Saldainiai su likeriu SOSTINĖS, 1kg"
21092,Saldainiai PUPA
21093,Saldainiai RAUDONOJI AGUONA
21097,"Saldainiai VILNIUS, 1kg"
21098,Saldainiai KREGŽDUTĖ
21104,Saldainiai STEP MIX
21109,ANANASINIAI saldainiai
21112,Saldainiai STEP GRILIAAS
21126,Irisai su žel. įd. MINKY-BINKY
21133,Saldainiai SOUFFLE SALDI SALA
21134,"Saldainiai KRASNAJA ŠAPOČKA,1kg"
21183,Raugeriškio skonio želiniai saldainiai
21198,Saldainiai FRUTLANDIJA
21231,Saldainiai POUFFLE
21237,Saldainiai ZOLOTOJ KLIUČIK
21310,Saldainiai LOIS
21317,Saldainiai JOY NUT
21369,Saldainiai GOLDEN LILY
21377,Saldainiai IO RIO
21388,"Saldainiai ZOLUŠKA, 1kg"
21394,"Saldainiai TOFFE CREAM, 1 kg"
21398,Karamels skonio sald. ALIONKA 7
21415,Saldainiai GLEIS okolado skonio
21424,Saldainiai GLEIS griet. skonio
21425,Saldainiai VERSAL
21443,Citrinų skonio vaflis
21455,Saldainiai GULBĖS SAPNAS
21459,Sald. BELOVEŽO GIRIA su spang. tyre
21475,"Saldainiai KOVBOJ DŽONI,1kg"
21482,Saldainiai MAMA PRIECHALA
21484,21484
21513,Saldainiai MEGA DRIVE
21528,"Saulėgrąžų chalva su žem.rieš.,1kg"
21529,Saulėgr.chalva MILK SOFTNESS
21690,992169000000
21720,Karamel FUNNY BOOM
21730,Karamel ANGRY SOUR
21740,Saldainiai BONASIE su lazd.rie.
21752,Saldainiai BONASIE su apelsinais
21754,Saldainiai BONFETTI NUGA
21761,Glaistyta vanilinė saulėgražų chalva
21762,Saldainiai TRAŠKUSIS VKUSIA
21764,Vir. pieno skonio saldainiai VERŽĖ
21767,Saldainiai MANGO
21772,Sald. BELOVEO GIRIA su obuol. tyre
21773,Sald. NOMEDA Winter time
21788,Saldainiai NESTLE LION® MINI
21801,Saldainiai KURAGA
21808,Saldainiai NOMEDA su imb. ir melionu kg
21824,Anyžių skonio karamelė ROSHEN ANIS
21825,Saldainiai 'Jelly'
21826,Saldainiai 'Crazy Bee Frutty'
21829,Karamelė su pieno įdaru „SWEET DROP“
21832,Vafliniai saldainiai LAZY COW
21857,Saldainiai MIŠKA KOSOLAPYJ
21858,Saldainiai IVINKA arbz skonio
21867,992186700000
21869,Saldainiai ZOLOTAJA LILIJA
21893,Vanilinė saulėgražų chalva
21917,21917
21920,"Saldainių su įdaru asorti,1kg"
21922,Saldainiai BOUNTY
21947,Saldainiai KALD SENELIAI
21948,21948
21957,Saldainiai ERNOSLIV
21960,Karamelė BARBARIS
21962,Karamelė MIATNAJA
21965,Saldainiai KORIVKA ROSHEN
21972,"Irisas KIS KIS, 1kg"
21973,Saldainiai LA BOHEME PARFE
21974,Karamelė su įdaru BIM BOM
21987,Saldainiai LOKYS
21992,Šok. saldainiai SNICKERS Mini
21993,Šok. saldainiai TWIX Mini
21998,Karamel ZOLOTOY RACHOK
21999,Saldainiai LINKSMŲ ŠVENČIŲ
22015,Meduoliai su vyšnių skonio įdaru
22056,KIJEVO traškučiai
22628,Pyragėliai SKARELĖS su obuolių įdaru
22629,Bandelės su lašinukų įdaru
23683,Sausainiai Pukite
